"","Region","Site","Microsite","Rep","location","Quantity","Order","Family","Subfamily","Genus","Species","highest.rtu","morphospecies"
"1","Cuyama","C2","shrub",26,"ethanol",3,"Hymenoptera","Formicidae",NA,NA,NA,"alate","alate NA"
"2","Cuyama","C1","shrub",2,"ethanol",1,"Hymenoptera","Formicidae",NA,"Pogonomyrmex",NA,"alate","alate NA"
"3","Mojave","M3","ephedra",2,"ethanol",1,"Hymenoptera","Formicidae",NA,NA,NA,"alate","alate NA"
"4","Mojave","M1","larrea",2,"pinned",1,"Hymenoptera","Formicidae",NA,NA,NA,"alate","alate NA"
"5","Cuyama","C3","shrub",18,"ethanol",1,"Hymenoptera","Formicidae",NA,"likely Messor 2",NA,"alate","alate NA"
"6","Cuyama","C2","shrub",22,"pinned",2,"Hymenoptera","Formicidae",NA,NA,NA,"Camponotus","Camponotus 1"
"7","Cuyama","C3","shrub",26,"ethanol",1,"Hymenoptera","Formicidae",NA,"Camponotus",NA,"Camponotus","Camponotus 1"
"8","Cuyama","C2","shrub",29,"pinned",6,"Hymenoptera","Formicidae",NA,"big -  camponotus queens, one worker…",NA,"Camponotus","Camponotus 2"
"9","Mojave","M1","ephedra",6,"ethanol",3,"Hymenoptera","Formicidae",NA,"Crematogaster",NA,"Crematogaster","Crematogaster 1"
"10","Mojave","M2","ephedra",6,"ethanol",6,"Hymenoptera","Formicidae",NA,"Crematogaster",NA,"Crematogaster","Crematogaster 1"
"11","Mojave","M1","ephedra",10,"ethanol",6,"Hymenoptera","Formicidae",NA,"Crematogaster",NA,"Crematogaster","Crematogaster 1"
"12","Mojave","M2","ephedra",14,"ethanol",3,"Hymenoptera","Formicidae",NA,"Crematogaster",NA,"Crematogaster","Crematogaster 1"
"13","Mojave","M1","ephedra",26,"ethanol",1,"Hymenoptera","Formicidae",NA,"Crematogaster",NA,"Crematogaster","Crematogaster 1"
"14","Mojave","M2","ephedra",26,"ethanol",1,"Hymenoptera","Formicidae",NA,"Crematogaster",NA,"Crematogaster","Crematogaster 1"
"15","Mojave","M2","ephedra",26,"ethanol",1,"Hymenoptera","Formicidae",NA,"Crematogaster",NA,"Crematogaster","Crematogaster 1"
"16","Mojave","M2","larrea",10,"ethanol",1,"Hymenoptera","Formicidae",NA,"Crematogaster",NA,"Crematogaster","Crematogaster 2"
"17","Cuyama","C2","open",10,"ethanol",1,"Hymenoptera","Formicidae",NA,"Dorymyrmex",NA,"Dorymyrmex","Dorymyrmex 1"
"18","Cuyama","C2","open",6,"ethanol",6,"Hymenoptera","Formicidae",NA,"Dorymyrmex",NA,"Dorymyrmex","Dorymyrmex 1"
"19","Cuyama","C2","shrub",10,"ethanol",2,"Hymenoptera","Formicidae",NA,"Dorymyrmex",NA,"Dorymyrmex","Dorymyrmex 1"
"20","Cuyama","C2","shrub",22,"ethanol",10,"Hymenoptera","Formicidae",NA,"Dorymyrmex",NA,"Dorymyrmex","Dorymyrmex 1"
"21","Cuyama","C2","shrub",29,"ethanol",8,"Hymenoptera","Formicidae",NA,"Dorymyrmex",NA,"Dorymyrmex","Dorymyrmex 1"
"22","Panoche","PAN2","shrub",32,"pinned",1,"Hymenoptera","Formicidae",NA,"Dorymyrmex",NA,"Dorymyrmex","Dorymyrmex 1"
"23","Panoche","PAN1","open",34,"ethanol",1,"Hymenoptera","Formicidae",NA,"Dorymyrmex",NA,"Dorymyrmex","Dorymyrmex 1"
"24","Panoche","PAN1","open",38,"ethanol",5,"Hymenoptera","Formicidae",NA,"Dorymyrmex",NA,"Dorymyrmex","Dorymyrmex 1"
"25","Panoche","PAN1","shrub",38,"ethanol",15,"Hymenoptera","Formicidae",NA,"Dorymyrmex",NA,"Dorymyrmex","Dorymyrmex 1"
"26","Cuyama","C1","shrub",14,"ethanol",1,"Hymenoptera","Formicidae",NA,"Dorymyrmex",NA,"Dorymyrmex","Dorymyrmex 2"
"27","Cuyama","C2","open",2,"pinned",1,"Hymenoptera","Formicidae",NA,"Dorymyrmex",NA,"Dorymyrmex","Dorymyrmex 2"
"28","Cuyama","C2","open",2,"ethanol",3,"Hymenoptera","Formicidae",NA,"Dorymyrmex",NA,"Dorymyrmex","Dorymyrmex 2"
"29","Mojave","M2","open",2,"ethanol",1,"Hymenoptera","Formicidae",NA,"Dorymyrmex",NA,"Dorymyrmex","Dorymyrmex 2"
"30","Cuyama","C3","shrub",2,"ethanol",2,"Hymenoptera","Formicidae",NA,"Dorymyrmex",NA,"Dorymyrmex","Dorymyrmex 2"
"31","Mojave","M2","larrea",6,"ethanol",3,"Hymenoptera","Formicidae",NA,"Dorymyrmex",NA,"Dorymyrmex","Dorymyrmex 2"
"32","Mojave","M2","open",6,"ethanol",2,"Hymenoptera","Formicidae",NA,"Dorymyrmex",NA,"Dorymyrmex","Dorymyrmex 2"
"33","Mojave","M2","ephedra",10,"ethanol",1,"Hymenoptera","Formicidae",NA,"Dorymyrmex",NA,"Dorymyrmex","Dorymyrmex 2"
"34","Mojave","M2","larrea",10,"ethanol",1,"Hymenoptera","Formicidae",NA,"Dorymyrmex",NA,"Dorymyrmex","Dorymyrmex 2"
"35","Mojave","M3","larrea",14,"ethanol",1,"Hymenoptera","Formicidae",NA,"Dorymyrmex",NA,"Dorymyrmex","Dorymyrmex 2"
"36","Mojave","M2","ephedra",18,"ethanol",4,"Hymenoptera","Formicidae",NA,"Dorymyrmex",NA,"Dorymyrmex","Dorymyrmex 2"
"37","Mojave","M2","open",18,"ethanol",7,"Hymenoptera","Formicidae",NA,"Dorymyrmex",NA,"Dorymyrmex","Dorymyrmex 2"
"38","Cuyama","C1","shrub",18,"ethanol",2,"Hymenoptera","Formicidae",NA,"Dorymyrmex",NA,"Dorymyrmex","Dorymyrmex 2"
"39","Cuyama","C2","open",22,"ethanol",5,"Hymenoptera","Formicidae",NA,"Dorymyrmex",NA,"Dorymyrmex","Dorymyrmex 2"
"40","Mojave","M2","ephedra",26,"ethanol",7,"Hymenoptera","Formicidae",NA,"Dorymyrmex",NA,"Dorymyrmex","Dorymyrmex 2"
