Region,site,ID,Microsite,x,y,z,rdm.cov,PF
Panoche,PAN3,1,ephedra,355,275,160,80,
Panoche,PAN3,1,open,,,,25,
Panoche,PAN3,2,ephedra,430,420,160,90,
Panoche,PAN3,2,open,,,,100,
Panoche,PAN3,3,ephedra,520,455,170,90,
Panoche,PAN3,3,open,,,,95,
Panoche,PAN3,4,ephedra,370,325,120,60,
Panoche,PAN3,4,open,,,,75,
Panoche,PAN3,5,ephedra,455,375,140,90,
Panoche,PAN3,5,open,,,,96,
Panoche,PAN3,6,ephedra,275,255,130,85,N
Panoche,PAN3,6,open,,,,15,Y
Panoche,PAN3,7,ephedra,275,250,95,80,
Panoche,PAN3,7,open,,,,30,
Panoche,PAN3,8,ephedra,310,245,110,80,Y
Panoche,PAN3,8,open,,,,15,Y
Panoche,PAN3,9,ephedra,135,115,110,95,
Panoche,PAN3,9,open,,,,10,
Panoche,PAN3,10,ephedra,355,345,130,90,
Panoche,PAN3,10,open,,,,100,
Panoche,PAN3,11,ephedra,280,270,95,100,
Panoche,PAN3,11,open,,,,95,
Panoche,PAN3,12,ephedra,320,300,155,60,Y
Panoche,PAN3,12,open,,,,90,Y
Panoche,PAN3,13,ephedra,175,90,115,80,
Panoche,PAN3,13,open,,,,100,
Panoche,PAN3,14,ephedra,530,420,160,100,
Panoche,PAN3,14,open,,,,60,
Panoche,PAN3,15,ephedra,565,440,130,90,
Panoche,PAN3,15,open,,,,50,
Panoche,PAN3,16,ephedra,580,410,115,75,Y
Panoche,PAN3,16,open,,,,85,Y
Panoche,PAN3,17,ephedra,265,210,120,80,
Panoche,PAN3,17,open,,,,50,
Panoche,PAN3,18,ephedra,255,235,125,80,
Panoche,PAN3,18,open,,,,45,
Panoche,PAN3,19,ephedra,280,265,115,50,Y
Panoche,PAN3,19,open,,,,25,Y
Panoche,PAN3,20,ephedra,170,150,95,50,
Panoche,PAN3,20,open,,,,35,
Panoche,PAN3,21,ephedra,275,210,120,40,
Panoche,PAN3,21,open,,,,15,
Panoche,PAN3,22,ephedra,275,260,100,75,
Panoche,PAN3,22,open,,,,10,
Panoche,PAN3,23,ephedra,395,390,165,100,Y
Panoche,PAN3,23,open,,,,20,Y
Panoche,PAN3,24,ephedra,220,205,95,70,
Panoche,PAN3,24,open,,,,8,
Panoche,PAN3,25,ephedra,235,185,95,95,
Panoche,PAN3,25,open,,,,50,
Panoche,PAN3,27,ephedra,210,130,85,80,
Panoche,PAN3,27,open,,,,60,
Panoche,PAN3,28,ephedra,175,75,115,70,Y
Panoche,PAN3,28,open,,,,65,Y
Panoche,PAN3,29,ephedra,330,205,80,80,
Panoche,PAN3,29,open,,,,60,
Panoche,PAN3,31,ephedra,265,210,100,85,
Panoche,PAN3,31,open,,,,20,
Panoche,PAN3,32,ephedra,350,330,165,85,Y
Panoche,PAN3,32,open,,,,95,Y
Panoche,PAN3,36,ephedra,360,330,105,40,Y
Panoche,PAN3,36,open,,,,90,N
Panoche,PAN3,40,ephedra,465,370,130,90,Y
Panoche,PAN3,40,open,,,,85,Y
Panoche,PAN2,40,ephedra,435,405,225,90,
Panoche,PAN2,40,open,,,,80,
Panoche,PAN2,39,ephedra,280,275,130,95,
Panoche,PAN2,39,open,,,,40,
Panoche,PAN2,38,ephedra,390,325,130,60,
Panoche,PAN2,38,open,,,,20,
Panoche,PAN2,37,ephedra,205,180,80,65,
Panoche,PAN2,37,open,,,,20,
Panoche,PAN2,36,ephedra,420,300,90,85,
Panoche,PAN2,36,open,,,,15,
Panoche,PAN2,35,ephedra,250,245,90,100,
Panoche,PAN2,35,open,,,,10,
Panoche,PAN2,34,ephedra,235,200,95,15,
Panoche,PAN2,34,open,,,,10,
Panoche,PAN2,33,ephedra,325,260,115,95,
Panoche,PAN2,33,open,,,,4,
Panoche,PAN2,32,ephedra,230,170,130,75,Y
Panoche,PAN2,32,open,,,,5,N
Panoche,PAN2,31,ephedra,250,200,95,80,
Panoche,PAN2,31,open,,,,15,
Panoche,PAN2,30,ephedra,285,260,110,40,
Panoche,PAN2,30,open,,,,5,
Panoche,PAN2,29,ephedra,270,235,130,75,
Panoche,PAN2,29,open,,,,3,
Panoche,PAN2,28,ephedra,240,235,80,40,
Panoche,PAN2,28,open,,,,10,
Panoche,PAN2,27,ephedra,420,375,200,80,
Panoche,PAN2,27,open,,,,70,
Panoche,PAN2,26,ephedra,240,220,115,30,
Panoche,PAN2,26,open,,,,15,
Panoche,PAN2,25,ephedra,190,185,105,65,
Panoche,PAN2,25,open,,,,10,
Panoche,PAN2,24,ephedra,275,230,135,85,Y
Panoche,PAN2,24,open,,,,5,Y
Panoche,PAN2,23,ephedra,215,185,115,35,
Panoche,PAN2,23,open,,,,5,
Panoche,PAN2,22,ephedra,240,210,145,70,
Panoche,PAN2,22,open,,,,5,
Panoche,PAN2,21,ephedra,255,225,95,75,
Panoche,PAN2,21,open,,,,8,
Panoche,PAN2,20,ephedra,230,175,90,85,
Panoche,PAN2,20,open,,,,45,
Panoche,PAN2,19,ephedra,180,120,125,65,
Panoche,PAN2,19,open,,,,15,
Panoche,PAN2,18,ephedra,190,175,135,20,N
Panoche,PAN2,18,open,,,,8,Y
Panoche,PAN2,17,ephedra,185,175,135,60,
Panoche,PAN2,17,open,,,,5,
Panoche,PAN2,16,ephedra,220,165,85,70,
Panoche,PAN2,16,open,,,,3,
Panoche,PAN2,15,ephedra,270,250,110,35,Y
Panoche,PAN2,15,open,,,,15,Y
Panoche,PAN2,13,ephedra,315,220,120,65,
Panoche,PAN2,13,open,,,,9,
Panoche,PAN2,12,ephedra,260,245,95,75,
Panoche,PAN2,12,open,,,,10,
Panoche,PAN2,11,ephedra,200,175,105,40,Y
Panoche,PAN2,11,open,,,,5,Y
Panoche,PAN2,6,ephedra,225,200,80,65,Y
Panoche,PAN2,6,open,,,,8,Y
Panoche,PAN1,1,ephedra,235,225,105,80,Y
Panoche,PAN1,1,open,,,,20,Y
Panoche,PAN1,2,ephedra,265,220,110,100,
Panoche,PAN1,2,open,,,,25,
Panoche,PAN1,3,ephedra,380,345,100,90,
